975Kp.assemblyΩ15_83	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
965Kp.assemblyΩ15_37	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
967Kp.assemblyΩ15_83	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
953Kp.assemblyΩ15_83	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
959Kp.assemblyΩ15_37	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
964Kp.assemblyΩ17_37	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
AMB201Kp.assemblyΩ15_83	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
954Kp.assemblyΩ15_37	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
937Kp.assemblyΩ15_83	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
966Kp.assemblyΩ24_7	UniRef100_A0A2G5BXD8~K04786	100.0	3163	1	0	1	3163	1	3163	0.0	6309
925Kp.assemblyΩ15_83	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
930Kp.assemblyΩ16_37	UniRef100_A0A2B7QLS6~K04786	99.9	3163	2	0	1	3163	1	3163	0.0	6308
975Kp.assemblyΩ6_173	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
965Kp.assemblyΩ21_26	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
967Kp.assemblyΩ8_173	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
953Kp.assemblyΩ23_26	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
959Kp.assemblyΩ23_45	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
964Kp.assemblyΩ3_45	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
AMB201Kp.assemblyΩ7_173	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
954Kp.assemblyΩ24_4	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
966Kp.assemblyΩ19_45	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
925Kp.assemblyΩ21_45	UniRef100_D3QM98~K06877	32.7	2176	1267	63	5	2080	7	2084	3.00e-295	924
